Year,Id,Link_ID,Active,Link_Info,From_Core,To_Core,Euc_Dist,CW_Dist,LCP_Length,Shape_Length,cw_to_Euc_Dist_Ratio,cwd_to_Path_Length_Ratio,Current_Flow_Centrality,Effective_Resistance,cwd_to_Eff_Resist_Ratio
2017,0,200,1,"""Connects_cores""",51,68,13547,226232.41,14536,14536.96754,16.70000076,15.56000042,-1,3183.090088,71.07309723
2017,0,201,1,"""Connects_cores""",54,59,6243,99988.16,6853,6853.889637,16.02000046,14.59000015,-1,2788.899902,35.85219955
2017,0,202,1,"""Connects_cores""",54,64,3751,92764.32,6136,6136.538999,24.72999954,15.11999989,-1,2914.659912,31.82679939
2017,0,203,1,"""Connects_cores""",55,65,7072,209551.14,13781,13781.24033,29.62999916,15.21000004,-1,10530.40039,19.89959908
2017,0,204,1,"""Connects_cores""",55,68,9454,191064.52,13175,13175.72737,20.20999908,14.5,-1,7806.009766,24.47660065
2017,0,205,1,"""Connects_cores""",55,70,6599,175490.52,8427,8427.565027,26.59000015,20.81999969,-1,6585.549805,26.64780045
2017,0,206,1,"""Connects_cores""",55,72,6929,115659.61,7849,7849.188278,16.69000053,14.73999977,-1,5539.609863,20.87870026
2017,0,207,1,"""Connects_cores""",55,73,7521,121792.78,8389,8389.188318,16.19000053,14.52000046,-1,5658.040039,21.52560043
2017,0,208,1,"""Connects_cores""",59,62,3198,52068.24,3351,3351.837589,16.28000069,15.53999996,-1,1472.780029,35.35359955
2017,0,209,1,"""Connects_cores""",59,64,590,18255.67,1145,1145.513,30.94000053,15.93999958,-1,508.4240112,35.90639877
2017,0,210,1,"""Connects_cores""",59,82,15162,284721.94,17850,17850.42855,18.78000069,15.94999981,-1,4103.209961,69.39009857
2017,0,211,1,"""Connects_cores""",62,82,19990,355722.13,22899,22899.01934,17.79999924,15.52999973,-1,4730.569824,75.1964035
2017,0,212,1,"""Connects_cores""",62,94,28068,469662.66,31037,31037.39596,16.72999954,15.13000011,-1,5332.790039,88.0707016
2017,0,213,1,"""Connects_cores""",63,64,1654,487970.97,6294,6294.701319,295.019989,77.52999878,-1,36360.89844,13.42020035
2017,0,214,1,"""Connects_cores""",64,79,15244,252416.91,16920,16920.64284,16.55999947,14.92000008,-1,4782.540039,52.77890015
2017,0,215,1,"""Connects_cores""",64,82,12857,265408.16,15316,15316.53894,20.63999939,17.32999992,-1,3718.600098,71.37310028
2017,0,216,1,"""Connects_cores""",65,67,597,65102.8,2225,2225.51305,109.0500031,29.26000023,-1,10570.2998,6.159060001
2017,0,217,1,"""Connects_cores""",65,68,1326,50927.46,2831,2831.02601,38.40999985,17.98999977,-1,3746.090088,13.5948
2017,0,218,1,"""Connects_cores""",65,73,6078,136129.08,9013,9013.889638,22.39999962,15.10000038,-1,5647.040039,24.10630035
2017,0,219,1,"""Connects_cores""",67,68,1246,51730.05,2001,2001.837739,41.52000046,25.85000038,-1,8597.75,6.016689777
2017,0,220,1,"""Connects_cores""",68,73,7255,117636.22,8408,8408.376708,16.20999908,13.98999977,-1,2938.179932,40.03720093
2017,0,221,1,"""Connects_cores""",68,79,16260,235954.7,17005,17005.34411,14.51000023,13.88000011,-1,3735.629883,63.16329956
2017,0,222,1,"""Connects_cores""",68,83,15588,238549.06,17198,17198.59094,15.30000019,13.86999989,-1,3150.98999,75.70610046
2017,0,223,1,"""Connects_cores""",70,72,3643,94329.87,4609,4609.18828,25.88999939,20.46999931,-1,3261.790039,28.91970062
2017,0,224,1,"""Connects_cores""",72,73,1316,22013.53,1573,1573.675319,16.72999954,13.98999977,-1,1226.199951,17.95260048
2017,0,225,1,"""Connects_cores""",73,83,18247,257160.8,18644,18644.53248,14.09000015,13.78999996,-1,3445.540039,74.63580322
2017,0,226,1,"""Connects_cores""",73,88,17675,311628.59,21024,21024.91554,17.62999916,14.81999969,-1,8749.730469,35.61579895
2017,0,227,1,"""Connects_cores""",79,82,6973,171645.52,8836,8836.539069,24.62000084,19.43000031,-1,4352.209961,39.43870163
2017,0,228,1,"""Connects_cores""",79,83,5505,88331.95,6406,6406.539027,16.04999924,13.78999996,-1,2578.879883,34.2519989
2017,0,229,1,"""Connects_cores""",79,84,3358,69927.91,4451,4451.025959,20.81999969,15.71000004,-1,3911.939941,17.87549973
2017,0,230,1,"""Connects_cores""",82,84,5161,196503.8,10224,10224.91552,38.06999969,19.21999931,-1,5090.560059,38.60160065
2017,0,231,1,"""Connects_cores""",82,94,9168,143985.19,11062,11062.05198,15.71000004,13.02000046,-1,3525.949951,40.83589935
2017,0,232,1,"""Connects_cores""",83,84,6316,115004.81,7737,7737.350658,18.20999908,14.85999966,-1,3818.719971,30.11610031
2017,0,233,1,"""Connects_cores""",83,85,1288,32752.36,2067,2067.350559,25.43000031,15.85000038,-1,2298.330078,14.25049973
2017,0,235,1,"""Connects_cores""",84,89,8792,179787.34,11127,11127.56483,20.45000076,16.15999985,-1,3767.01001,47.72679901
2017,0,236,1,"""Connects_cores""",84,91,10108,175596.52,11482,11482.26624,17.37000084,15.28999996,-1,3890.100098,45.13940048
